Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login Process,Firefox 61.0,,2018-07-09 15:47:11,2018-07-09 15:47:30,18.830s,FAILED
,,,,,,
Test Cases/DataDriven Login,Firefox 61.0,,2018-07-09 15:47:12,2018-07-09 15:47:22,9.994s,FAILED
openBrowser,Firefox 61.0,,2018-07-09 15:47:12,2018-07-09 15:47:18,5.866s,PASSED
navigateToUrl,Firefox 61.0,,2018-07-09 15:47:18,2018-07-09 15:47:20,1.527s,PASSED
click,Firefox 61.0,,2018-07-09 15:47:20,2018-07-09 15:47:22,2.160s,FAILED
,,,,,,
Test Cases/DataDriven Login,Firefox 61.0,,2018-07-09 15:47:22,2018-07-09 15:47:30,7.882s,FAILED
openBrowser,Firefox 61.0,,2018-07-09 15:47:22,2018-07-09 15:47:27,5.065s,PASSED
navigateToUrl,Firefox 61.0,,2018-07-09 15:47:27,2018-07-09 15:47:28,1.454s,PASSED
click,Firefox 61.0,,2018-07-09 15:47:28,2018-07-09 15:47:30,1.340s,FAILED
