Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login Process,Firefox 61.0,,2018-07-09 16:08:42,2018-07-09 16:08:55,13.555s,FAILED
,,,,,,
Test Cases/DataDriven Login,Firefox 61.0,,2018-07-09 16:08:42,2018-07-09 16:08:55,12.625s,FAILED
openBrowser,Firefox 61.0,,2018-07-09 16:08:42,2018-07-09 16:08:48,5.976s,PASSED
navigateToUrl,Firefox 61.0,,2018-07-09 16:08:48,2018-07-09 16:08:50,2.000s,PASSED
waitForElementPresent,Firefox 61.0,,2018-07-09 16:08:50,2018-07-09 16:08:50,0.190s,PASSED
verifyElementPresent,Firefox 61.0,,2018-07-09 16:08:50,2018-07-09 16:08:51,0.368s,PASSED
click,Firefox 61.0,,2018-07-09 16:08:51,2018-07-09 16:08:52,0.906s,PASSED
waitForElementPresent,Firefox 61.0,,2018-07-09 16:08:52,2018-07-09 16:08:52,0.335s,PASSED
verifyElementPresent,Firefox 61.0,,2018-07-09 16:08:52,2018-07-09 16:08:52,0.151s,PASSED
click,Firefox 61.0,,2018-07-09 16:08:52,2018-07-09 16:08:53,0.674s,PASSED
setText,Firefox 61.0,,2018-07-09 16:08:53,2018-07-09 16:08:53,0.354s,PASSED
waitForElementPresent,Firefox 61.0,,2018-07-09 16:08:53,2018-07-09 16:08:53,0.118s,PASSED
verifyElementPresent,Firefox 61.0,,2018-07-09 16:08:53,2018-07-09 16:08:53,0.083s,PASSED
click,Firefox 61.0,,2018-07-09 16:08:53,2018-07-09 16:08:54,0.364s,PASSED
waitForElementPresent,Firefox 61.0,,2018-07-09 16:08:54,2018-07-09 16:08:54,0.069s,PASSED
verifyElementPresent,Firefox 61.0,,2018-07-09 16:08:54,2018-07-09 16:08:54,0.060s,PASSED
click,Firefox 61.0,,2018-07-09 16:08:54,2018-07-09 16:08:54,0.583s,FAILED
