Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login Process,Firefox 61.0,,2018-07-09 16:10:40,2018-07-09 16:11:05,24.770s,PASSED
,,,,,,
Test Cases/DataDriven Login,Firefox 61.0,,2018-07-09 16:10:40,2018-07-09 16:10:53,13.208s,PASSED
openBrowser,Firefox 61.0,,2018-07-09 16:10:41,2018-07-09 16:10:47,6.214s,PASSED
navigateToUrl,Firefox 61.0,,2018-07-09 16:10:47,2018-07-09 16:10:49,1.955s,PASSED
waitForElementPresent,Firefox 61.0,,2018-07-09 16:10:49,2018-07-09 16:10:49,0.367s,PASSED
verifyElementPresent,Firefox 61.0,,2018-07-09 16:10:49,2018-07-09 16:10:49,0.255s,PASSED
click,Firefox 61.0,,2018-07-09 16:10:49,2018-07-09 16:10:51,1.466s,PASSED
waitForElementPresent,Firefox 61.0,,2018-07-09 16:10:51,2018-07-09 16:10:51,0.091s,PASSED
verifyElementPresent,Firefox 61.0,,2018-07-09 16:10:51,2018-07-09 16:10:51,0.101s,PASSED
click,Firefox 61.0,,2018-07-09 16:10:51,2018-07-09 16:10:52,0.468s,PASSED
setText,Firefox 61.0,,2018-07-09 16:10:52,2018-07-09 16:10:52,0.442s,PASSED
waitForElementPresent,Firefox 61.0,,2018-07-09 16:10:52,2018-07-09 16:10:52,0.066s,PASSED
verifyElementPresent,Firefox 61.0,,2018-07-09 16:10:52,2018-07-09 16:10:52,0.065s,PASSED
click,Firefox 61.0,,2018-07-09 16:10:52,2018-07-09 16:10:52,0.345s,PASSED
waitForElementPresent,Firefox 61.0,,2018-07-09 16:10:52,2018-07-09 16:10:53,0.070s,PASSED
verifyElementPresent,Firefox 61.0,,2018-07-09 16:10:53,2018-07-09 16:10:53,0.065s,PASSED
click,Firefox 61.0,,2018-07-09 16:10:53,2018-07-09 16:10:53,0.448s,PASSED
closeBrowser,Firefox 61.0,,2018-07-09 16:10:53,2018-07-09 16:10:53,0.397s,PASSED
,,,,,,
Test Cases/DataDriven Login,Firefox 61.0,,2018-07-09 16:10:53,2018-07-09 16:11:04,11.030s,PASSED
openBrowser,Firefox 61.0,,2018-07-09 16:10:53,2018-07-09 16:10:58,4.241s,PASSED
navigateToUrl,Firefox 61.0,,2018-07-09 16:10:58,2018-07-09 16:11:00,2.427s,PASSED
waitForElementPresent,Firefox 61.0,,2018-07-09 16:11:00,2018-07-09 16:11:01,0.514s,PASSED
verifyElementPresent,Firefox 61.0,,2018-07-09 16:11:01,2018-07-09 16:11:01,0.063s,PASSED
click,Firefox 61.0,,2018-07-09 16:11:01,2018-07-09 16:11:02,0.794s,PASSED
waitForElementPresent,Firefox 61.0,,2018-07-09 16:11:02,2018-07-09 16:11:02,0.082s,PASSED
verifyElementPresent,Firefox 61.0,,2018-07-09 16:11:02,2018-07-09 16:11:02,0.179s,PASSED
click,Firefox 61.0,,2018-07-09 16:11:02,2018-07-09 16:11:02,0.539s,PASSED
setText,Firefox 61.0,,2018-07-09 16:11:02,2018-07-09 16:11:03,0.389s,PASSED
waitForElementPresent,Firefox 61.0,,2018-07-09 16:11:03,2018-07-09 16:11:03,0.096s,PASSED
verifyElementPresent,Firefox 61.0,,2018-07-09 16:11:03,2018-07-09 16:11:03,0.065s,PASSED
click,Firefox 61.0,,2018-07-09 16:11:03,2018-07-09 16:11:03,0.313s,PASSED
waitForElementPresent,Firefox 61.0,,2018-07-09 16:11:03,2018-07-09 16:11:03,0.066s,PASSED
verifyElementPresent,Firefox 61.0,,2018-07-09 16:11:03,2018-07-09 16:11:04,0.223s,PASSED
click,Firefox 61.0,,2018-07-09 16:11:04,2018-07-09 16:11:04,0.570s,PASSED
closeBrowser,Firefox 61.0,,2018-07-09 16:11:04,2018-07-09 16:11:04,0.367s,PASSED
