Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login Process,Firefox 61.0,,2018-07-09 16:02:49,2018-07-09 16:03:13,24.053s,FAILED
,,,,,,
Test Cases/DataDriven Login,Firefox 61.0,,2018-07-09 16:02:49,2018-07-09 16:03:02,13.024s,FAILED
openBrowser,Firefox 61.0,,2018-07-09 16:02:50,2018-07-09 16:02:56,6.230s,PASSED
navigateToUrl,Firefox 61.0,,2018-07-09 16:02:56,2018-07-09 16:02:59,3.363s,PASSED
waitForElementPresent,Firefox 61.0,,2018-07-09 16:02:59,2018-07-09 16:03:00,0.428s,PASSED
verifyElementPresent,Firefox 61.0,,2018-07-09 16:03:00,2018-07-09 16:03:00,0.082s,PASSED
click,Firefox 61.0,,2018-07-09 16:03:00,2018-07-09 16:03:01,0.715s,PASSED
waitForElementPresent,Firefox 61.0,,2018-07-09 16:03:01,2018-07-09 16:03:01,0.126s,PASSED
verifyElementPresent,Firefox 61.0,,2018-07-09 16:03:01,2018-07-09 16:03:01,0.041s,PASSED
click,Firefox 61.0,,2018-07-09 16:03:01,2018-07-09 16:03:01,0.407s,PASSED
setText,Firefox 61.0,,2018-07-09 16:03:01,2018-07-09 16:03:02,0.546s,PASSED
click,Firefox 61.0,,2018-07-09 16:03:02,2018-07-09 16:03:02,0.387s,PASSED
click,Firefox 61.0,,2018-07-09 16:03:02,2018-07-09 16:03:02,0.305s,FAILED
,,,,,,
Test Cases/DataDriven Login,Firefox 61.0,,2018-07-09 16:03:02,2018-07-09 16:03:13,10.474s,PASSED
openBrowser,Firefox 61.0,,2018-07-09 16:03:02,2018-07-09 16:03:07,4.688s,PASSED
navigateToUrl,Firefox 61.0,,2018-07-09 16:03:07,2018-07-09 16:03:09,2.042s,PASSED
waitForElementPresent,Firefox 61.0,,2018-07-09 16:03:09,2018-07-09 16:03:09,0.127s,PASSED
verifyElementPresent,Firefox 61.0,,2018-07-09 16:03:09,2018-07-09 16:03:09,0.148s,PASSED
click,Firefox 61.0,,2018-07-09 16:03:09,2018-07-09 16:03:11,1.092s,PASSED
waitForElementPresent,Firefox 61.0,,2018-07-09 16:03:11,2018-07-09 16:03:11,0.171s,PASSED
verifyElementPresent,Firefox 61.0,,2018-07-09 16:03:11,2018-07-09 16:03:11,0.106s,PASSED
click,Firefox 61.0,,2018-07-09 16:03:11,2018-07-09 16:03:11,0.606s,PASSED
setText,Firefox 61.0,,2018-07-09 16:03:11,2018-07-09 16:03:12,0.263s,PASSED
click,Firefox 61.0,,2018-07-09 16:03:12,2018-07-09 16:03:12,0.377s,PASSED
click,Firefox 61.0,,2018-07-09 16:03:12,2018-07-09 16:03:12,0.289s,PASSED
closeBrowser,Firefox 61.0,,2018-07-09 16:03:12,2018-07-09 16:03:13,0.532s,PASSED
